"type";"nameDe";"nameFr";"address";"location";"zip";"descriptionDe";"descriptionFr";"coordinates";"offers";"hasWalkIn";"appointmentType";"externalLinkDe";"externalLinkFr";"vacTypes";"openingHoursDe";"openingHoursFr";"dateTimeRangeStart";"dateTimeRangeStop"
"Impftruck";"Impftruck - St-Imier";"Camion de vaccination - St-Imier";"Marne de la Coudre 6";"St-Imier";"2610";;;"47.153412803579606, 7.003925212072417";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00 ";"de 08:00 à 14:00 et 15:00 à 18:00 ";"2022-02-16T08:00:00";"2022-02-16T18:00:00"
"Impftruck";"Impftruck - Nidau";"Camion de vaccination - Nidau";"Milanweg 40";"Nidau";"2560";;;"47.12553087614873, 7.246780913594107";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00 ";"de 08:00 à 14:00 et 15:00 à 18:00 ";"2022-01-20T08:00:00";"2022-01-20T18:00:00"
"Impftruck";"Impftruck - Nidau";"Camion de vaccination - Nidau";"Milanweg 40";"Nidau";"2560";;;"47.12553087614873, 7.246780913594107";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00 ";"de 08:00 à 14:00 et 15:00 à 18:00 ";"2022-02-17T08:00:00";"2022-02-17T18:00:00"
"Impftruck";"Impftruck - Biel";"Camion de vaccination - Bienne";"Place du Marché-Neuf (Neumarktplatz)";"Biel ";"2502";;;"47.14097771795413, 7.24818989858036";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00";"de 08:00 à 14:00 et 15:00 à 18:00";"2022-01-21T08:00:00";"2022-01-21T18:00:00"
"Impftruck";"Impftruck - Biel";"Camion de vaccination - Bienne";"Place du Marché-Neuf (Neumarktplatz)";"Biel ";"2502";;;"47.14097771795413, 7.24818989858036";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00";"de 08:00 à 14:00 et 15:00 à 18:00";"2022-02-18T08:00:00";"2022-02-18T18:00:00"
"Impftruck";"Impftruck - Laupen ";"Camion de vaccination - Laupen";"Mühlestrasse 30";"Laupen";"3177";"Schulhaus";"École";"46.907625902843705, 7.241578698240043";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 18:00 Uhr";"de 08:00 à 18:00";"2022-01-22T08:00:00";"2022-01-22T18:00:00"
"Impftruck";"Impftruck - Laupen ";"Camion de vaccination - Laupen";"Mühlestrasse 30";"Laupen";"3177";"Schulhaus";"École";"46.907625902843705, 7.241578698240043";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 18:00 Uhr";"de 08:00 à 18:00";"2022-02-19T08:00:00";"2022-02-19T18:00:00"
"Impftruck";"Impftruck - St-Imier";"Camion de vaccination - St-Imier";"Marne de la Coudre 6";"St-Imier";"2610";;;"47.153412803579606, 7.003925212072417";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00";"de 08:00 à 14:00 et 15:00 à 18:00";"2021-12-29T08:00:00";"2021-12-29T18:00:00"
"Impftruck";"Impftruck - St-Imier";"Camion de vaccination - St-Imier";"Marne de la Coudre 6";"St-Imier";"2610";;;"47.153412803579606, 7.003925212072417";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00";"de 08:00 à 14:00 et 15:00 à 18:00";"2021-12-30T08:00:00";"2021-12-30T18:00:00"
"Impftruck";"Impftruck - Frutigen";"Camion de vaccination - Frutigen";"untere Bahnhofstrasse 11,";"Frutigen";"3714";;;"46.587859252070515, 7.650777527065471";"1,2";"true";"2";;;"mRNA";"von 08:00 bis 14:00 und 15:00 bis 18:00";"de 08:00 à 14:00 et 15:00 à 18:00";"2022-01-26T08:00:00";"2022-01-26T18:00:00"
